trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Take_tool_from_bag, qty= 16
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.actions.Action_sequential_parent, qty= 15
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Idle_vigilant_only_arm, qty= 14
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.actions.Action_sequential_parent, qty= 13
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.actions.Action_parallel_parent, qty= 12
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.actions.Action_parallel_parent, qty= 11
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.using_guns.reloading.Reload_pistol, qty= 10
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Arm_reach_relative_directions, qty= 9
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Idle_vigilant_only_arm, qty= 8
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Grab_tool, qty= 7
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Put_hand_before_bag, qty= 6
trace_source Information: 1 : Action is destroyed. type= units.human.actions.Start_recorded_animation, qty= 5
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Put_hand_before_bag, qty= 4
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.actions.Action_parallel_parent, qty= 3
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Idle_vigilant_only_arm, qty= 2
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Idle_vigilant_only_arm, qty= 1
trace_source Information: 1 : Action is destroyed. type= rvinowise.units.parts.limbs.arms.actions.Move_hand_into_bag, qty= 0
